Name	OccurrencesInSearchInputData	SearchInputDataSize	OccurencesInWholeGenome	WholeGenomeSize	Adjusted PValue
NFKB_GM12878	6	2340	4005532	3095677412	1E0
EGATA2_K562	5	2340	3076449	3095677412	1E0
OCT2_GM12878	5	2340	3086566	3095677412	1E0
POL24H8_GM12891	6	2340	4024193	3095677412	1E0
MAX_NB4	6	2340	4036827	3095677412	1E0
CTCF_GM06990	13	2340	11234546	3095677412	1E0
CTCF_HPF	11	2340	9133941	3095677412	1E0
EGR1_K562	8	2340	6046247	3095677412	1E0
CTCF_HBMEC	13	2340	11307709	3095677412	1E0
POL2_PROGFIB	5	2340	3153819	3095677412	1E0
CTCF_HUVEC	14	2340	12432292	3095677412	1E0
SMC3AB9263_GM12878	8	2340	6101065	3095677412	1E0
CJUN_HEPG2	4	2340	2273894	3095677412	1E0
CTCF_AG09319	12	2340	10289710	3095677412	1E0
PAX5C20_GM12878	6	2340	4138123	3095677412	1E0
CTCF_HEK293	10	2340	8238017	3095677412	1E0
PU1_GM12891	10	2340	8239566	3095677412	1E0
ZBTB7ASC34508_K562	6	2340	4185477	3095677412	1E0
POL2_GM19193	7	2340	5179170	3095677412	1E0
CTCFSC5916_H1HESC	10	2340	8289275	3095677412	1E0
CTCF_NHLF	10	2340	8345699	3095677412	1E0
CTCF_HCFAA	9	2340	7314863	3095677412	1E0
GATA1_K562B	2	2340	742269	3095677412	1E0
CTCF_GM12878	14	2340	12767516	3095677412	1E0
EGR1_GM12878	4	2340	2404982	3095677412	1E0
P300F4_K562	2	2340	752169	3095677412	1E0
NRSF_HTB11	3	2340	1554793	3095677412	1E0
NFKB_GM10847	3	2340	1560580	3095677412	1E0
CTCF_OSTEOBL	17	2340	16280817	3095677412	1E0
STAT2_K562	2	2340	787181	3095677412	1E0
CTCF_HSMM	11	2340	9664917	3095677412	1E0
CTCF_NHEK	14	2340	12980271	3095677412	1E0
CJUN_HUVEC	7	2340	5473563	3095677412	1E0
ATF3_H1HESC	2	2340	815684	3095677412	1E0
POL2_H1HESC	7	2340	5528870	3095677412	1E0
NFKB_GM19099	3	2340	1668159	3095677412	1E0
FOXA1C20_T47D	8	2340	6644530	3095677412	1E0
ZEB1SC25388_GM12878	3	2340	1686024	3095677412	1E0
YY1_NT2D1	2	2340	854102	3095677412	1E0
CTCF_WERIRB1	9	2340	7740264	3095677412	1E0
NRSF_K562	4	2340	2652084	3095677412	1E0
RAD21_GM12878	9	2340	7846851	3095677412	1E0
RAD21_K562	7	2340	5710234	3095677412	1E0
NRSF_HELAS3	3	2340	1754339	3095677412	1E0
TCF4_HEPG2	7	2340	5758285	3095677412	1E0
POL2_NB4	5	2340	3701589	3095677412	1E0
PU1_GM12878	8	2340	6873371	3095677412	1E0
SP1_H1HESC	4	2340	2730588	3095677412	1E0
MAFFM8194_HEPG2	8	2340	6888422	3095677412	1E0
CTCF_BJ	11	2340	10238704	3095677412	1E0
NFKB_GM18505	3	2340	1822305	3095677412	1E0
CTCF_K562	16	2340	15994567	3095677412	1E0
SIN3AK20_H1HESC	2	2340	954112	3095677412	1E0
PAX5C20_GM12892	3	2340	1836936	3095677412	1E0
P300_SKNSHRA	10	2340	9193764	3095677412	1E0
YY1_K562B	2	2340	977673	3095677412	1E0
POL2S2_HELAS3	4	2340	2841457	3095677412	1E0
BCL3_K562	1	2340	247663	3095677412	1E0
HNF4A_HEPG2	3	2340	1875957	3095677412	1E0
CMYC_MCF7	7	2340	6008535	3095677412	1E0
RFX5N494_HELAS3	4	2340	2918411	3095677412	1E0
CTCF_HELAS3	16	2340	16357952	3095677412	1E0
ATF3_K562	1	2340	272332	3095677412	1E0
CTCF_AG10803	10	2340	9508436	3095677412	1E0
USF1_A549	4	2340	2970473	3095677412	1E0
POL2_A549	9	2340	8418468	3095677412	1E0
NRSF_H1HESC	3	2340	2035314	3095677412	1E0
CTCF_AG09309	9	2340	8531453	3095677412	1E0
E2F6_HELAS3	2	2340	1099897	3095677412	1E0
NFKB_GM12891	7	2340	6294219	3095677412	1E0
PU1_K562	5	2340	4118522	3095677412	1E0
POL2_HEPG2	11	2340	10853902	3095677412	1E0
TF3C110_K562	1	2340	307254	3095677412	1E0
HEY1_HEPG2	6	2340	5228256	3095677412	1E0
CTCF_HCPE	12	2340	12115670	3095677412	1E0
IRF1_K562	4	2340	3123285	3095677412	1E0
USF2_HELAS3	3	2340	2103928	3095677412	1E0
TAF1_K562	5	2340	4288179	3095677412	1E0
CTCF_HEE	10	2340	10063821	3095677412	1E0
TBP_H1HESC	4	2340	3287564	3095677412	1E0
HMGN3_K562	4	2340	3296876	3095677412	1E0
EGR1_H1HESC	1	2340	370131	3095677412	1E0
CFOS_K562	2	2340	1270805	3095677412	1E0
CTCF_MCF7	15	2340	16195246	3095677412	1E0
CFOS_GM12878	1	2340	387767	3095677412	1E0
NFE2_K562	1	2340	390942	3095677412	1E0
KAP1_HEK293B	6	2340	5668816	3095677412	1E0
RAD21_HELAS3	7	2340	6829465	3095677412	1E0
POL2_MCF10AES	8	2340	8024481	3095677412	1E0
POL2_HEK293B	3	2340	2360645	3095677412	1E0
SIRT6_K562	1	2340	436731	3095677412	1E0
CTCF_AOAF	7	2340	7021470	3095677412	1E0
ZBTB33_GM12878	1	2340	442566	3095677412	1E0
BATF_GM12878	5	2340	4730038	3095677412	1E0
CMYC_GM12878	1	2340	459989	3095677412	1E0
TAF1_H1HESC	5	2340	4802223	3095677412	1E0
BCL3_H1HESC	1	2340	474369	3095677412	1E0
SIX5_K562	1	2340	482001	3095677412	1E0
ZBTB33_HEPG2	1	2340	488067	3095677412	1E0
RXRA_GM12878	1	2340	492405	3095677412	1E0
EJUNB_K562	3	2340	2626431	3095677412	1E0
MEF2A_GM12878	4	2340	3799345	3095677412	1E0
NRSF_GM12878	1	2340	522750	3095677412	1E0
CJUN_K562	3	2340	2676019	3095677412	1E0
BRG1_K562	1	2340	529995	3095677412	1E0
CTCF_AG04449	7	2340	7423703	3095677412	1E0
BCLAF1M33_K562	1	2340	551582	3095677412	1E0
SIX5_H1HESC	1	2340	564215	3095677412	1E0
CEBPB_K562	7	2340	7573400	3095677412	1E0
GTF2F1RAP_K562	1	2340	595237	3095677412	1E0
USF1SC8983_SKNSHRA	4	2340	4035419	3095677412	1E0
TAL1SC12984_K562	5	2340	5267521	3095677412	1E0
SRF_GM12878	2	2340	1702306	3095677412	1E0
FOXA2SC6554_HEPG2	6	2340	6615646	3095677412	1E0
SUZ12_H1HESC	1	2340	652083	3095677412	1E0
POL2_HUVEC	4	2340	4219219	3095677412	1E0
POL2B_HELAS3	1	2340	675377	3095677412	1E0
EBF_GM12878	8	2340	9277758	3095677412	1E0
BHLHE40_HEPG2	1	2340	705429	3095677412	1E0
AP2ALPHA_HELAS3	4	2340	4329821	3095677412	1E0
E2F4_HELAS3	1	2340	712882	3095677412	1E0
SP1_GM12878	3	2340	3150612	3095677412	1E0
P300_H1HESC	1	2340	737192	3095677412	1E0
USF1_HEPG2	3	2340	3160590	3095677412	1E0
CTCF_HASP	5	2340	5737901	3095677412	1E0
PAX5C20_GM12891	1	2340	770210	3095677412	1E0
SRF_H1HESC	1	2340	770548	3095677412	1E0
NRSF_HEPG2	1	2340	782877	3095677412	1E0
EBF1C8_GM12878	5	2340	5816955	3095677412	1E0
CTCF_GLIOBLA	8	2340	9686056	3095677412	1E0
NRSF_PANC1	1	2340	788957	3095677412	1E0
USF1_H1HESC	4	2340	4568428	3095677412	1E0
NRF1_K562	1	2340	802945	3095677412	1E0
PRDM1V_HELAS3	1	2340	816760	3095677412	1E0
TAF1_HELAS3	2	2340	2080607	3095677412	1E0
NFYA_K562	2	2340	2175232	3095677412	1E0
CJUN_HELAS3	4	2340	4798353	3095677412	1E0
ZNF263_K562B	1	2340	921647	3095677412	1E0
TAF1_HEPG2	3	2340	3584303	3095677412	1E0
KAP1_U2OS	3	2340	3659037	3095677412	1E0
AP2GAMMA_HELAS3	5	2340	6372143	3095677412	1E0
CTBP2_H1HESC	1	2340	1005161	3095677412	1E0
E2F6H50_K562	4	2340	5094525	3095677412	1E0
JUND_HELAS3	5	2340	6576848	3095677412	1E0
STAT3_MCF10AES	10	2340	13468727	3095677412	1E0
NRF1_GM12878	1	2340	1115743	3095677412	1E0
RFX5N494_HEPG2	1	2340	1138770	3095677412	1E0
MXI1BHLH_K562	1	2340	1143185	3095677412	1E0
GATA2CG2_K562	2	2340	2749818	3095677412	1E0
TCF12_H1HESC	1	2340	1268656	3095677412	1E0
USF2_HEPG2	1	2340	1294243	3095677412	1E0
CFOS_HELAS3	1	2340	1331500	3095677412	1E0
USF2_H1HESC	1	2340	1365327	3095677412	1E0
E2F6_K562B	2	2340	2941185	3095677412	1E0
PBX3_GM12878	1	2340	1428850	3095677412	1E0
GR_ECC1	1	2340	1540951	3095677412	1E0
MEF2CSC13268_GM12878	1	2340	1551577	3095677412	1E0
P300N15_HELAS3	3	2340	4868671	3095677412	1E0
SETDB1_U2OS	5	2340	7938933	3095677412	1E0
USF1_K562	3	2340	4913180	3095677412	1E0
USF2_GM12878	1	2340	1685761	3095677412	1E0
PAX5N19_GM12878	2	2340	3421029	3095677412	1E0
FOSL1SC183_K562	1	2340	1784811	3095677412	1E0
KAP1_K562B	1	2340	1851023	3095677412	1E0
GATA2_K562B	1	2340	1888931	3095677412	1E0
EFOS_K562	1	2340	1958455	3095677412	1E0
NFYB_K562	1	2340	2103686	3095677412	1E0
HAE2F1_HELAS3	1	2340	2481253	3095677412	1E0
STAT3_HELAS3	1	2340	2858040	3095677412	1E0
